personalization,question,option_1,option_2,option_3,option_4,mcq_answer,function,code,tree_image_path
normal,What is the output of the code below? Briefly explain what the function does. ,"[A, B, D, E, C]","[D, B, E, A, C]","[A, C, B, D, E]","[C, A, B, D, E]",A,Pre-order traversal to collect all node values,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root, result):
    if root:
        result.append(root.key)
        traversal_algorithm(root.left, result)
        traversal_algorithm(root.right, result)
",images/question_3_normal.png
harry potter,Imagine you are at Hogwarts School of Witchcraft and Wizardry and you have been assigned a task by Professor McGonagall. Your task is to visit a series of magical artifacts. The artifacts are owned by your favorite Hogwarts legends. You must visit each character in a specific order to get their artifact. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.,"[Harry, Hermione, Dobby, Luna, Ron]","[Dobby, Hermione, Luna, Harry, Ron]","[Harry, Ron, Hermione, Dobby, Luna]","[Ron, Harry, Hermione, Luna, Dobby]",A,Pre-order traversal to collect all node values,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root, result):
    if root:
        result.append(root.key)
        traversal_algorithm(root.left, result)
        traversal_algorithm(root.right, result)
",images/question_3_harry_potter.png
recipe,"You are a master chef preparing a delicious salad for a prestigious culinary competition. The ingredients need to be collected in a very specific order to ensure the flavors blend perfectly. The ingredients are organized in a hierarchical manner, starting with the base ingredient and branching out to secondary and tertiary ingredients. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.","[Lettuce, Tomato, Carrot, Onion, Cucumber]","[Carrot, Tomato, Onion, Lettuce, Cucumber]","[Lettuce, Cucumber, Tomato, Carrot, Onion]","[Cucumber, Lettuce, Tomato, Onion, Carrot]",A,Pre-order traversal to collect all node values,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root, result):
    if root:
        result.append(root.key)
        traversal_algorithm(root.left, result)
        traversal_algorithm(root.right, result)
",images/question_3_recipe.png
music,"As a curator of a renowned music festival, you are tasked with organizing the band line-ups based on different music genres. The genres are structured in a hierarchical tree where you start with the main genre and branch out to sub-genres. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.","[Rock, Jazz, Blues, Funk, Classical]","[Blues, Jazz, Funk, Rock, Classical]","[Rock, Classical, Jazz, Blues, Funk]","[Classical, Rock, Jazz, Funk, Blues]",A,Pre-order traversal to collect all node values,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root, result):
    if root:
        result.append(root.key)
        traversal_algorithm(root.left, result)
        traversal_algorithm(root.right, result)
",images/question_3_music.png
normal,What is the output of the code below? Briefly explain what the function does. ,B,D,A,C,C,In-order traversal to find the lexicographically minimum value,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return """"
    left_min = traversal_algorithm(root.left)
    right_min = traversal_algorithm(root.right)
    current_min = min(root.key, left_min, right_min)
    return current_min
",images/question_3_normal.png
harry potter,"You have come across a collection of magical tomes guarded by Harry Potter characters, organized in a binary search tree. To find the most challenging tome, you need to identify the character that appears first lexicographically (alphabetically). You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",Harry,Ron,Dobby,Luna,C,In-order traversal to find the lexicographically minimum value,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return """"
    left_min = traversal_algorithm(root.left)
    right_min = traversal_algorithm(root.right)
    current_min = min(root.key, left_min, right_min)
    return current_min
",images/question_3_harry_potter.png
recipe,"You are categorizing salad ingredients in a systematic tree structure, where each node holds a different ingredient. To label the ingredients properly, you need to find the one that appears first alphabetically among all entries. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",Carrot,Cucumber,Tomato,Lettuce,A,In-order traversal to find the lexicographically minimum value,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return """"
    left_min = traversal_algorithm(root.left)
    right_min = traversal_algorithm(root.right)
    current_min = min(root.key, left_min, right_min)
    return current_min
",images/question_3_recipe.png
music,"You are curating a vast collection of music genres arranged in a hierarchical tree structure. Among all these genres, you want to find the one that comes first alphabetically. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",Rock,Blues,Jazz,Classical,B,In-order traversal to find the lexicographically minimum value,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return """"
    left_min = traversal_algorithm(root.left)
    right_min = traversal_algorithm(root.right)
    current_min = min(root.key, left_min, right_min)
    return current_min
",images/question_3_music.png
normal,What is the output of the code below? Briefly explain what the function does. ,1,2,3,4,C,Post-order traversal to count leaf nodes,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return 0
    if not root.left and not root.right:
        return 1
    return traversal_algorithm(root.left) + traversal_algorithm(root.right)
",images/question_3_normal.png
harry potter,"Professor Sprout has an enchanted garden with various magical plants, each planted by characters from the Harry Potter series. A leaf node in this tree represents an individual plant with no further branches. Professor Sprout needs your help to count how many individual plants (leaf nodes) there are in the garden. You decide to write a function to solve this problem. What is the output of the function? Briefly explain what the function does.",1,2,3,4,C,Post-order traversal to count leaf nodes,"class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.key = key

def traversal_algorithm(root):
    if not root:
        return 0
    if not root.left and not root.right:
        return 1
    return traversal_algorithm(root.left) + traversal_algorithm(root.right)
",images/question_3_harry_potter.png
